iter	RMSE
0	3496.474186
1	3312.118103
2	3137.604226
3	2972.245293
4	2817.617437
5	2671.018215
6	2534.442294
7	2405.57452
8	2284.706192
9	2170.755944
10	2063.524247
11	1963.084349
12	1869.020576
13	1780.108267
14	1694.403109
15	1615.463127
16	1540.522686
17	1471.531402
18	1405.64734
19	1345.250662
20	1287.862637
21	1233.206674
22	1182.811168
23	1135.088739
24	1091.365045
25	1049.751629
26	1011.522443
27	976.1688154
28	942.7181807
29	911.2718167
30	881.461155
31	854.6357676
32	828.6439245
33	805.1144979
34	783.3051155
35	762.7663288
36	743.9067966
37	726.2004478
38	708.8524417
39	693.944725
40	679.8873706
41	667.2374478
42	654.3890157
43	642.8714041
44	632.3358772
45	623.0683173
46	614.1656635
47	605.9878057
48	598.0359393
49	590.6024984
50	583.5715917
51	576.5015201
52	570.7638185
53	564.8869958
54	559.422832
55	554.6006411
56	550.028982
57	546.0747031
58	541.8005235
59	537.9119114
60	534.3492152
61	531.0076547
62	526.4249374
63	523.8543137
64	519.9608613
65	517.3349508
66	514.7106391
67	512.392914
68	510.0064277
69	507.5981946
70	505.1420062
71	502.374729
72	500.3164754
73	498.1512004
74	496.3356066
75	494.626069
76	492.2576583
77	489.4107218
78	487.3021741
79	485.6240235
80	483.9348461
81	482.5462914
82	481.0803274
83	479.4610423
84	478.3898017
85	476.8109141
86	475.8931475
87	474.8243187
88	473.8527782
89	472.8834603
90	470.9224628
91	469.051491
92	466.7945426
93	465.6899313
94	464.908411
95	464.1504463
96	463.2806412
97	461.5749286
98	460.3438885
99	459.5098501
100	458.240304
101	456.6172778
102	455.6764251
103	454.2766224
104	453.1442989
105	451.437733
106	450.6353043
107	449.1944641
108	448.387406
109	447.0488203
110	446.0419428
111	444.7316214
112	443.540748
113	442.9862417
114	442.2630409
115	441.2467596
116	439.9601094
117	439.2185802
118	438.1458042
119	437.3235926
120	436.0520824
121	435.3685154
122	433.9776838
123	433.054882
124	431.8922709
125	431.0345464
126	429.8016399
127	428.9164648
128	428.4871378
129	427.7941948
130	427.0190122
131	426.2153429
132	425.7117758
133	425.1245938
134	424.4919956
135	423.9070032
136	422.5112657
137	421.6432287
138	420.893302
139	419.8096168
140	419.1102575
141	418.628391
142	418.2204516
143	417.9003925
144	417.2372961
145	416.4515008
146	415.3389637
147	414.5730474
148	414.1841236
149	413.9182507
150	413.4255774
151	412.8735973
152	412.1233034
153	411.8002943
154	411.0866021
155	410.657175
156	410.2272833
157	409.6426105
158	409.2265814
159	408.7405035
160	408.3173894
161	407.9071402
162	407.4002049
163	406.7354614
164	406.3565519
165	406.0050107
166	405.5166157
167	404.943601
168	404.5668747
169	404.2289243
170	403.1086329
171	402.3425472
172	401.524135
173	401.2250081
174	400.911722
175	400.5661507
176	400.0563828
177	399.8005099
178	399.2981104
179	398.9828125
180	398.4945394
181	398.0547457
182	397.7216748
183	396.5015371
184	395.8986393
185	395.569054
186	395.1051034
187	394.8654253
188	394.1118685
189	393.8151154
190	393.1554102
191	392.0641533
192	391.6436338
193	390.6661454
194	390.107861
195	389.6687169
196	389.2154035
197	388.9129389
198	388.5314881
