iter	Passed	Remaining
0	19	57837
1	36	55306
2	53	53849
3	70	52958
4	88	53050
5	104	52331
6	122	52249
7	138	51757
8	156	51917
9	172	51606
10	189	51420
11	206	51389
12	223	51363
13	241	51401
14	258	51520
15	276	51494
16	291	51221
17	309	51270
18	326	51272
19	344	51288
20	361	51290
21	378	51218
22	395	51175
23	414	51406
24	432	51471
25	449	51402
26	465	51263
27	481	51115
28	497	50937
29	513	50802
30	528	50583
31	543	50443
32	559	50284
33	575	50217
34	591	50125
35	606	49965
36	622	49813
37	637	49701
38	653	49606
39	668	49459
40	683	49362
41	699	49266
42	715	49186
43	732	49221
44	749	49215
45	766	49192
46	783	49208
47	800	49225
48	816	49188
49	832	49125
50	848	49037
51	864	49008
52	880	48946
53	896	48906
54	912	48856
55	930	48907
56	946	48864
57	963	48861
58	978	48796
59	994	48749
60	1009	48654
61	1028	48747
62	1045	48757
63	1063	48780
64	1081	48842
65	1099	48871
66	1114	48793
67	1130	48745
68	1146	48718
69	1163	48706
70	1180	48693
71	1197	48692
72	1215	48724
73	1231	48681
74	1247	48658
75	1263	48610
76	1280	48608
77	1296	48563
78	1313	48555
79	1330	48564
80	1347	48543
81	1362	48470
82	1376	48390
83	1392	48329
84	1408	48295
85	1424	48283
86	1439	48214
87	1456	48191
88	1472	48154
89	1487	48098
90	1504	48081
91	1519	48042
92	1537	48059
93	1553	48031
94	1568	47948
95	1582	47870
96	1597	47803
97	1612	47740
98	1626	47665
99	1641	47601
100	1656	47544
101	1679	47730
102	1697	47747
103	1718	47854
104	1739	47960
105	1758	48015
106	1776	48036
107	1795	48079
108	1812	48078
109	1827	48015
110	1841	47938
111	1858	47911
112	1875	47927
113	1891	47888
114	1907	47857
115	1921	47774
116	1936	47705
117	1950	47639
118	1968	47656
119	1985	47640
120	1999	47576
121	2014	47513
122	2029	47480
123	2048	47507
124	2063	47464
125	2079	47438
126	2095	47400
127	2112	47388
128	2127	47355
129	2143	47322
130	2158	47267
131	2172	47210
132	2188	47167
133	2203	47135
134	2220	47115
135	2237	47114
136	2251	47057
137	2266	47001
138	2283	47004
139	2302	47043
140	2317	46998
141	2331	46921
142	2346	46887
143	2361	46830
144	2374	46756
145	2391	46745
146	2406	46700
147	2420	46641
148	2440	46687
149	2455	46654
150	2472	46650
151	2488	46621
152	2502	46569
153	2519	46563
154	2536	46561
155	2554	46573
156	2572	46579
157	2587	46550
158	2602	46508
159	2618	46487
160	2634	46453
161	2648	46404
162	2663	46351
163	2679	46327
164	2695	46318
165	2709	46264
166	2725	46227
167	2743	46240
168	2757	46189
169	2772	46149
170	2788	46137
171	2806	46147
172	2825	46166
173	2843	46176
174	2858	46145
175	2873	46102
176	2887	46045
177	2902	46013
178	2916	45970
179	2931	45927
180	2947	45902
181	2964	45899
182	2980	45884
183	2998	45888
184	3015	45888
185	3030	45851
186	3047	45837
187	3061	45797
188	3076	45752
189	3091	45719
190	3106	45688
191	3122	45662
192	3139	45658
193	3155	45635
194	3169	45592
195	3188	45608
196	3203	45583
197	3219	45563
198	3237	45572
199	3251	45523
200	3266	45488
201	3281	45456
202	3298	45448
203	3315	45443
204	3330	45413
205	3347	45399
206	3362	45370
207	3379	45361
208	3395	45344
209	3412	45334
210	3428	45314
211	3444	45298
212	3460	45282
213	3478	45284
214	3496	45289
215	3512	45266
216	3527	45235
217	3543	45220
218	3560	45217
219	3574	45166
220	3590	45150
221	3607	45145
222	3623	45125
223	3641	45125
224	3660	45140
225	3676	45129
226	3695	45139
227	3715	45170
228	3743	45293
229	3763	45327
230	3783	45348
231	3802	45361
232	3824	45415
233	3845	45459
234	3869	45527
235	3907	45763
236	3928	45803
237	3948	45827
238	3972	45891
239	3993	45928
240	4020	46028
241	4042	46065
242	4059	46052
243	4081	46099
244	4102	46128
245	4123	46160
246	4144	46189
247	4163	46197
248	4181	46199
249	4198	46187
250	4218	46200
251	4237	46210
252	4252	46177
253	4271	46180
254	4288	46167
255	4307	46170
256	4336	46283
257	4351	46246
258	4368	46230
259	4388	46249
260	4405	46236
261	4420	46195
262	4438	46186
263	4455	46170
264	4473	46171
265	4490	46156
266	4506	46126
267	4522	46104
268	4538	46072
269	4554	46049
270	4568	46010
271	4584	45977
272	4600	45956
273	4618	45947
274	4633	45916
275	4648	45883
276	4665	45868
277	4682	45846
278	4696	45806
279	4710	45763
280	4732	45788
281	4751	45797
282	4768	45779
283	4785	45766
284	4801	45738
285	4816	45704
286	4831	45671
287	4846	45641
288	4862	45613
289	4879	45599
290	4894	45567
291	4909	45534
292	4925	45505
293	4940	45469
294	4955	45441
295	4970	45408
296	4985	45376
297	5001	45345
298	5016	45320
299	5032	45292
300	5048	45269
301	5063	45233
302	5078	45208
303	5094	45184
304	5110	45156
305	5125	45122
306	5142	45110
307	5156	45072
308	5173	45056
309	5189	45028
310	5204	45002
311	5220	44976
312	5234	44939
313	5251	44920
314	5265	44884
315	5280	44852
316	5296	44831
317	5313	44810
318	5327	44776
319	5343	44749
320	5358	44720
321	5375	44705
322	5390	44679
323	5405	44646
324	5422	44633
325	5439	44617
326	5455	44597
327	5471	44569
328	5486	44543
329	5501	44512
330	5517	44491
331	5532	44462
332	5547	44431
333	5563	44406
334	5579	44388
335	5597	44381
336	5611	44346
337	5625	44307
338	5642	44288
339	5657	44259
340	5673	44241
341	5690	44222
